crank	name	surname	country	dob
537	Iryna	Shymanovich	Belarus	30-Jun-1997
538	Silvia	Njiric	Croatia	09-Jul-1993
539	Nastja	Kolar	Slovenia	15-Jul-1994
540	Anna	Remondina	Italy	01-Jun-1989
541	Guadalupe	Perez rojas	Argentina	19-Aug-1994
542	Maria	Herazo gonzalez	Colombia	22-Mar-1997
543	Audrey	Albie	France	24-Oct-1994
544	Veronika	Kapshay	Ukraine	02-Dec-1986
545	Snehadevi	Reddy	India	13-Feb-1997
546	Ilona	Kremen	Belarus	18-Jan-1994
547	Ashley	Kratzer	United states	08-Feb-1999
548	Ana bianca	Mihaila	Romania	05-Oct-1996
549	Maddison	Inglis	Australia	14-Jan-1998
550	So-ra	Lee	South korea	22-Jul-1994
551	Victoria	Larriere	France	02-May-1991
552	Katherine	Sebov	Canada	05-Jan-1999
553	Camilla	Scala	Italy	09-Jul-1994
554	Valeria	Bhunu	Zimbabwe	03-Apr-1995
555	Nina	Alibalic	Australia	10-Dec-1998
556	Sarah-rebecca	Sekulic	Germany	03-Jul-1992
557	Natalija	Kostic	Serbia	25-Jul-1994
558	Ines	Murta	Portugal	31-May-1997
559	Despina	Papamichail	Greece	09-Feb-1993
560	Katharina	Lehnert	Philippines	18-Feb-1994
561	Seung-yeon	Hong	South korea	17-Apr-1992
562	Hao chen	Tang	China	21-Feb-1994
563	Jessica	Wacnik	United states	28-Apr-1993
564	Haruna	Arakawa	Japan	27-Oct-1999
565	Risa	Ushijima	Japan	10-May-1996
566	Brenda	Njuki	Sweden	17-Feb-1994
567	Dia	Evtimova	Bulgaria	30-Apr-1987
568	Yuliya	Beygelzimer	Ukraine	20-Oct-1983
569	Anastasia	Zarytska	Ukraine	08-Jan-1998
570	Irina	Fetecau	Romania	17-Apr-1996
571	Alice	Bacquie	France	23-Jul-1995
572	Britt	Geukens	Belgium	23-Feb-1996
573	Sung-hee	Han	South korea	13-Nov-1990
574	Emma	Laine	Finland	26-Mar-1986
575	Berfu	Cengiz	Turkey	18-Oct-1999
576	Ema	Burgic bucko	Bosnia and herzegovina	22-Aug-1992
577	Dhruthi	Tatachar venugopal	India	09-Jan-1997
578	Klaartje	Liebens	Belgium	11-Jan-1995
579	Marcela	Zacarias	Mexico	26-Mar-1994
580	Miriam	Bulgaru	Romania	08-Oct-1998
581	Samantha	Murray	United kingdom	09-Oct-1987
582	Karman	Thandi	India	16-Jun-1998
583	Cristina	Bucsa	Spain	01-Jan-1998
584	Riya	Bhatia	India	24-Sep-1997
585	Victoria	Muntean	France	23-Jan-1997
586	Elena-teodora	Cadar	Romania	24-Feb-1994
587	Nathaly	Kurata	Brazil	10-Feb-1993
588	Laura ioana	Andrei	Romania	31-May-1988
589	Ylona-georgiana	Ghioroaie	Romania	28-Mar-1998
590	Katarina	Zavatska	Ukraine	05-Feb-2000
591	Karin	Kennel	Switzerland	05-Jul-1995
592	Michika	Ozeki	Japan	17-Mar-1992
593	Di	Zhao	China	05-Jan-1993
594	Petra	Cetkovska	Czech republic	08-Feb-1985
595	Fanny	Ostlund	Sweden	05-May-1997
596	Bianca	Turati	Italy	17-Jun-1997
597	Aleksandra	Pospelova	Russia	22-Apr-1998
598	Miki	Miyamura	Japan	04-Nov-1985
599	Dana	Kremer	Germany	01-Sep-1997
600	Abbie	Myers	Australia	18-Jul-1994
601	Katharina	Gerlach	Germany	19-Feb-1998
602	Momoko	Kobori	Japan	22-Aug-1998
603	Ylena	In-albon	Switzerland	06-Mar-1999
604	Chiara	Grimm	Switzerland	28-Jan-1997
605	Alona	Fomina	Ukraine	05-Jul-1989
606	Julia	Stamatova	Bulgaria	04-Jun-1993
607	Ola	Abou zekry	Egypt	20-Jun-1987
608	Andrea	Ka	Cambodia	26-Apr-1992
609	Bianka	Bekefi	Hungary	18-Mar-1997
610	Martina	Colmegna	Italy	10-Dec-1996
611	Kanae	Hisami	Japan	28-Jan-1987
612	Elena	Rybakina	Russia	17-Jun-1999
613	Barbara	Gatica	Chile	16-Aug-1996
614	Xiaoxi	Zhao	China	27-Dec-2000
615	Marina	Kachar	Serbia	15-Jul-1992
616	Alexandra	Stevenson	United states	15-Dec-1980
617	Mari	Osaka	Japan	03-Apr-1996
618	Vendula	Zovincova	Czech republic	15-Apr-1997
619	Prerna	Bhambri	India	12-Sep-1992
620	Nina	Potocnik	Slovenia	12-Jan-1997
621	Tayisiya	Morderger	Germany	07-Mar-1997
622	Jarmila	Wolfe	Australia	26-Apr-1987
623	Marine	Partaud	France	09-Nov-1994
624	Mira	Antonitsch	Austria	16-Dec-1998
625	Cornelia	Lister	Sweden	26-May-1994
626	Jennifer	Zerbone	France	14-Jun-1995
627	Kateryna	Sliusar	Ukraine	29-Nov-1997
628	Lisa	Matviyenko	Germany	06-Oct-1997
629	Barbara	Kotelesova	Slovakia	12-May-1996
630	Yana	Morderger	Germany	07-Mar-1997
631	Tamara	Curovic	Serbia	31-Oct-1994
632	Ellen	Perez	Australia	10-Oct-1995
633	María	Irigoyen	Argentina	24-Jun-1987
634	Erin	Routliffe	Canada	11-Apr-1995
635	Beatrice	Gumulya	Indonesia	01-Jan-1991
636	Yvonne	Cavalle-reimers	Spain	22-May-1992
637	Ekaterina	Kazionova	Russia	13-Jan-1999
638	Olga	Puchkova	Russia	27-Sep-1987
639	Marianna	Zakarlyuk	Ukraine	22-Sep-1996
640	Milana	Spremo	Serbia	26-Nov-1991
641	Mai	Minokoshi	Japan	16-Apr-1992
642	Kyra	Shroff	India	17-Oct-1992
643	Dasha	Ivanova	United states	11-Oct-1996
644	Petra	Januskova	Canada	03-Mar-1991
645	Katerina	Vankova	Czech republic	30-Dec-1989
646	Yuki	Chiang	United states	19-Aug-1995
647	Emily	Arbuthnott	United kingdom	03-Oct-1997
648	Kelly	Versteeg	Netherlands	18-Nov-1994
649	Julyette	Steur	Germany	28-Jul-1995
650	Jelena	Simic	Bosnia and herzegovina	19-Feb-1992
651	Cristina	Adamescu	Romania	25-Oct-1995
652	Charlotte	Robillard-millette	Canada	12-Jan-1999
653	Renata	Voracova	Czech republic	06-Oct-1983
654	Sang hee	Park	South korea	17-Oct-1995
655	Ani	Mijacika	Croatia	15-Jun-1987
656	Chanelle	Van nguyen	United states	19-Jan-1994
657	Florencia	Molinero	Argentina	28-Nov-1988
658	Prarthana	Thombare	India	18-Jun-1994
659	Julie	Gervais	France	22-Jul-1991
660	Varunya	Wongteanchai	Thailand	07-Jan-1993
661	Angelina	Zhuravleva	Russia	20-Nov-1996
662	Pauline	Payet	France	03-Jul-1994
663	Bojana	Marinkovic	Serbia	30-Oct-1996
664	Ling	Zhang	Hong kong sar china	28-Oct-1989
665	Gioia	Barbieri	Italy	09-Jul-1991
666	Pranjala	Yadlapalli	India	30-Mar-1999
667	Maria jose	Luque moreno	Spain	06-Jun-1996
668	Haruka	Kaji	Japan	25-Sep-1994
669	Lauren	Embree	United states	10-Jan-1991
670	Ulyana	Ayzatulina	Russia	01-Feb-1996
671	Martina	Spigarelli	Italy	12-May-1992
672	Shelby	Talcott	United states	14-Jan-1993
673	Mirabelle	Njoze	United kingdom	05-Feb-1997
674	María josé	Martínez sánchez	Spain	12-Aug-1982
675	Ingrid	Neel	United states	16-Jun-1998
676	Eva	Guerrero alvarez	Spain	04-Sep-1999
677	Alba	Carrillo marin	Spain	06-Mar-1996
678	Nudnida	Luangnam	Thailand	27-Feb-1987
679	Claire	Liu	United states	25-May-2000
680	Amina	Anshba	Russia	09-Sep-1999
681	Marlies	Szupper	Austria	02-Jun-1995
682	Sharon	Fichman	Canada	03-Dec-1990
683	Giorgia	Marchetti	Italy	21-Jan-1995
684	Jiahui	Chen	China	26-May-1995
685	Daria	Lodikova	Russia	25-May-1996
686	Emilie	Francati	Denmark	24-Jun-1997
687	Emily	Webley-smith	United kingdom	14-Jul-1984
688	Xenia	Knoll	Switzerland	02-Sep-1992
689	Martina	Capurro taborda	Argentina	04-Dec-1997
690	Nuria	Parrizas diaz	Spain	15-Jul-1991
691	Xinyu	Jiang	China	03-Mar-1999
692	Andreea	Rosca	Romania	20-Mar-1999
693	Sowjanya	Bavisetti	India	11-Dec-1993
694	Clemence	Fayol	France	01-Nov-1994
695	Mai	Hontama	Japan	30-Aug-1999
696	Petia	Arshinkova	Bulgaria	26-Apr-1998
697	Camila	Giangreco campiz	Paraguay	24-Aug-1996
698	Yukun	Zhang	China	25-Dec-1995
699	Ani	Vangelova	Bulgaria	14-Jul-1993
700	Naomi	Totka	Hungary	19-Oct-1995
701	Mariana	Drazic	Croatia	08-Jan-1995
702	Luisa	Stefani	Brazil	09-Aug-1997
703	Chihiro	Nunome	Japan	26-Jun-1992
704	Sadafmoh	Tolibova	Belarus	16-Jun-1996
705	Luca	Nagymihaly	Hungary	27-Sep-1997
706	Justyna	Jegiolka	Poland	17-Sep-1991
707	Yixuan	Li	China	19-Apr-1997
708	Joana	Eidukonyte	Lithuania	02-Oct-1994
709	Kylie	Mckenzie	United states	21-Mar-1999
710	Jessica	Failla	United states	05-Jun-1997
711	Satsuki	Takamura	Japan	24-Sep-1999
712	Suzy	Larkin	United kingdom	16-Jun-1992
713	Erika	Vogelsang	Netherlands	01-Mar-1995
714	Michaela	Gordon	United states	26-Jul-1999
715	Kajsa	Rinaldo persson	Sweden	11-Nov-1997
716	Arina	Folts	Uzbekistan	01-Jan-1997
717	Fiona	Codino	France	31-Aug-1995
718	Kaja	Juvan	Slovenia	25-Nov-2000
719	Sofie	Oyen	Belgium	04-Feb-1992
720	Lucia	Bronzetti	Italy	10-Dec-1998
721	Gabriela	Talaba	Romania	23-Aug-1995
722	Giuliana	Olmos	Mexico	04-Mar-1993
723	Gaia	Sanesi	Italy	01-Apr-1992
724	Miriana	Tona	Italy	09-Jan-1995
725	Vera	Dushevina	Russia	06-Oct-1986
726	Bojana	Jovanovski	Serbia	31-Dec-1991
727	Sophie	Chang	United states	28-May-1997
728	Maja	Chwalinska	Poland	11-Oct-2001
729	Eden	Silva	United kingdom	14-Mar-1996
730	Kaitlyn	Christian	United states	13-Jan-1992
731	Anhzelika	Isaeva	Russia	20-Nov-2000
732	Magali	Kempen	Belgium	30-Nov-1997
733	Piia	Suomalainen	Finland	09-Jul-1984
734	Julia	Jones	United states	03-Apr-1994
735	Anastasiya	Fedoryshyn	Ukraine	29-Apr-1997
736	Sarah beth	Grey	United kingdom	10-Aug-1995
737	Lucrezia	Stefanini	Italy	15-May-1998
738	Iva	Primorac	Croatia	10-Apr-1996
739	Arabela	Fernandez rabener	Spain	20-Oct-1990
740	Federica	Arcidiacono	Italy	14-Apr-1993
741	Victoria	Duval	United states	30-Nov-1995
742	Anhelina	Kalinina	Ukraine	07-Feb-1997
743	Maia	Lumsden	United kingdom	10-Jan-1998
744	Pernilla	Mendesova	Czech republic	06-Jun-1994
745	Valeriya	Zeleva	Russia	20-Oct-1998
746	Maria joao	Koehler	Portugal	08-Oct-1992
747	Aki	Yamasoto	Japan	24-Sep-1991
748	Angelique	Svinos	Australia	25-Jan-1996
749	Katharina	Hering	Germany	28-Feb-1995
750	Clothilde	De bernardi	France	16-Nov-1994
751	Emily	Appleton	United kingdom	01-Sep-1999
751	Barbora	Miklova	Czech republic	29-Mar-1998
753	Alina	Silich	Russia	10-Jul-1996
754	Mara	Schmidt	United states	22-Feb-1992
755	Eudice	Chong	Hong kong sar china	22-Apr-1996
756	Nina	Stadler	Switzerland	11-Oct-1995
757	Dalila	Spiteri	Italy	24-Apr-1997
758	Plobrung	Plipuech	Thailand	19-Nov-1997
759	Alexa	Graham	United states	07-Jul-1998
760	Brynn	Boren	United states	01-Aug-1991
761	Natasha	Palha	India	17-Jan-1994
762	Caroline	Werner	Germany	08-Apr-1996
763	Amanda	Anisimova	United states	31-Aug-2001
764	Ingrid	Gamarra martins	Brazil	22-Aug-1996
765	Lena	Rueffer	Germany	23-Aug-1998
766	Komola	Umarova	Uzbekistan	23-Oct-1999
767	Nika	Kukharchuk	Russia	08-Feb-1987
768	Alexa	Guarachi	Chile	17-Nov-1990
769	Viktorija	Rajicic	Australia	07-Apr-1994
770	Ludmilla	Samsonova	Italy	11-Nov-1998
771	Oana	Gavrila	Romania	19-Apr-1998
772	Ana	Savic	Croatia	09-Oct-1989
773	Ani	Amiraghyan	Armenia	09-Oct-1993
774	Gabriela	Horackova	Czech republic	04-Jun-1991
775	Ainhoa	Atucha gomez	Spain	24-May-1993
776	Jaeda	Daniel	United states	28-Jul-1999
777	Sri	Peddi reddy	India	04-Oct-1995
778	Elena	Bogdan	Romania	28-Mar-1992
779	Carla	Lucero	Argentina	26-Oct-1990
780	Barbara	Bonic	Serbia	04-Jun-1992
780	Lisa-marie	Maetschke	Germany	19-Apr-1995
780	Noelia	Zeballos	Bolivia	02-May-1994
783	Eliessa	Vanlangendonck	Belgium	07-Apr-1997
784	Dabin	Kim	South korea	02-Jan-1997
785	Michaela	Bayerlova	Czech republic	14-Dec-1998
786	Evgeniya	Levashova	Russia	28-May-1999
787	Kennedy	Shaffer	United states	21-May-1997
788	Priscilla	Heise	France	11-Jun-1990
789	Alexandra	Grinchishina	Kazakhstan	22-Oct-1995
790	Alexandra	Riley	United states	13-Apr-1991
791	Catherine	Chantraine	Belgium	19-Mar-1993
792	Federica	Prati	Italy	03-Jan-1996
793	Anna	Klasen	Germany	15-Nov-1993
794	Anastasia	Rodionova	Australia	12-May-1982
795	Ziyue	Sun	China	06-Jul-1996
796	Yuliana	Lizarazo	Colombia	23-May-1993
797	Anette	Munozova	Sweden	01-Aug-1991
798	Lea	Romain	France	28-Nov-1999
799	Akilah	James	United states	29-Aug-1992
800	Nina	Kruijer	Netherlands	23-Feb-1998
801	Aymet	Uzcategui	Venezuela	01-Dec-1995
802	Diana	Sumova	Czech republic	25-Sep-1994
803	Eleni	Daniilidou	Greece	19-Sep-1982
804	Ashley	Weinhold	United states	20-Jun-1989
805	Emmanuelle	Salas	France	20-Apr-1998
806	Nicole	Rottmann	Austria	28-Jun-1989
807	Karola	Bejenaru	Romania	29-Jun-1997
808	Karoline	Kurz	Austria	21-May-1996
809	Lidziya	Marozava	Belarus	08-Oct-1992
810	Nicole	Melichar	United states	29-Jul-1993
811	Nathalia	Rossi	Brazil	28-Apr-1989
812	Wushuang	Zheng	China	29-Nov-1998
813	Jessica	Crivelletto	Switzerland	25-Nov-1998
814	Marie	Temin	France	24-Jul-1992
815	Sabastiani	Leon	Mexico	23-Mar-1992
816	Luisa marie	Huber	Germany	22-Jun-1995
817	Aiko	Yoshitomi	Japan	24-Sep-1993
818	Maria	Gutierrez carrasco	Spain	15-Sep-1997
819	Yuki	Naito	Japan	16-Feb-2001
820	Emiliana	Arango	Colombia	28-Nov-2000
821	Mandy	Wagemaker	Netherlands	24-Apr-1994
822	Brianna	Morgan	United states	19-Feb-1994
823	Chiraz	Bechri	Tunisia	23-Jul-1998
823	Samantha	Harris	Australia	19-Dec-1995
823	Katarina	Jokic	Serbia	19-Apr-1998
826	Maryna	Chernyshova	Ukraine	25-Jun-1999
827	Sofya	Golubovskaya	Russia	11-May-2000
828	Nicole	Vaidisova	Czech republic	23-Apr-1989
829	Angelina	Shakhraychuk	Ukraine	05-Nov-1999
830	Alexandra	Mueller	United states	14-Feb-1988
831	Federica	Bilardo	Italy	06-Jul-1999
832	Natasha	Piludu	Italy	08-Jun-1995
832	Ksenia	Ulukan	Kyrgyzstan	13-Dec-1989
834	Anastasia	Chikalkina	Russia	18-Jan-1997
834	Aleksandra	Vostrikova	Russia	25-Jul-1997
836	Qiu yu	Ye	China	29-Nov-1997
837	Lisa-maria	Moser	Austria	28-Mar-1991
838	Vivian	Wolff	Germany	08-Oct-1998
839	Patrycja	Polanska	Poland	18-Jul-1997
840	Sandra	Jamrichova	Slovakia	14-Sep-1997
841	Alexa	Glatch	United states	10-Sep-1989
842	Rocio	De la torre-sanchez	Spain	19-Oct-1990
843	Isabelle	Boulais	Canada	12-Apr-2000
844	Alicja	Rosolska	Poland	01-Dec-1985
845	Iga	Swiatek	Poland	31-May-2001
846	Manisha	Foster	United kingdom	21-Aug-1993
847	Rosalie	Van der hoek	Netherlands	16-Dec-1994
848	Astra	Sharma	Australia	11-Sep-1995
849	Qianqian	Zhao	China	27-Mar-1994
850	Ines	Ibbou	Algeria	05-Jan-1999
851	Naima	Karamoko	Switzerland	30-Sep-1997
852	Michele	Zmau	Romania	22-May-1996
853	Ivania	Martinich	Chile	25-Jul-1995
854	Csilla	Argyelan	Hungary	11-Nov-1990
854	Nidhi	Chilumula	India	09-Oct-1994
854	Phillis	Vanenburg	Netherlands	11-Jan-1998
857	Akari	Inoue	Japan	04-Aug-1988
858	Julia	Payola	Spain	08-Jan-1998
859	Nikki	Luttikhuis	Netherlands	28-Sep-1995
860	Andreea	Ghitescu	Romania	10-Mar-1997
861	Oksana	Kalashnikova	Georgia	05-Sep-1990
862	Maria	Mateas	United states	21-Jul-1999
863	Alexandra	Morozova	United states	24-Feb-1995
864	Mariya	Koryttseva	Ukraine	25-May-1985
864	Hua-chen	Lee	Chinese taipei	14-Sep-1993
866	Sarah	Lee	United states	14-Aug-1993
866	Bojana	Markovic	Serbia	27-Feb-1999
868	Leonie	Kung	Switzerland	21-Oct-2000
869	Thaisa grana	Pedretti	Brazil	15-May-1999
870	Daria	Kruzhkova	Russia	07-May-1998
870	Jessy	Rompies	Indonesia	14-Apr-1990
872	Monika	Kilnarova	Czech republic	08-Oct-1999
873	Jelena	Stojanovic	Australia	13-Apr-1997
874	Ilze	Hattingh	South africa	22-Apr-1996
875	Emmanuelle	Girard	France	07-Jul-1999
875	Jessica	Ho	United states	05-Jan-1997
877	Szabina	Szlavikovics	Hungary	05-Sep-1995
878	Veronica	Miroshnichenko	Russia	19-Nov-1997
879	Margaux	Bovy	Belgium	28-Sep-1997
880	Yukina	Saigo	Japan	27-Apr-1996
881	Yeong won	Jeong	South korea	10-Feb-1996
882	Katharine	Fahey	United states	19-Oct-1996
882	Yuliya	Kalabina	Russia	27-Mar-1990
882	Sinead	Lohan	Ireland	10-Feb-1995
885	Mihika	Yadav	India	10-Nov-1999
886	Tatiana	Pieri	Italy	29-Mar-1999
886	Tereza	Prochazkova	Czech republic	21-Jun-1999
888	Andrea	Raaholt	Norway	17-Apr-1996
889	Sofia	Luini	Argentina	11-Nov-1992
890	Alice	Savoretti	Italy	17-Jun-1992
891	Charlotte	Roemer	Ecuador	08-Jan-1994
891	Keren	Shlomo	Israel	14-Jan-1988
891	Margarita	Skryabina	Russia	13-Jan-2000
891	Anna	Turati	Italy	17-Jun-1997
895	Yuenu	Li	China	14-Jul-1998
896	Rebeka	Stolmar	Hungary	26-Feb-1997
897	Georgia	Craciun	Romania	14-Jul-1999
898	Nagi	Hanatani	Japan	07-Mar-1995
899	Rika	Fujiwara	Japan	19-Sep-1981
899	Teodora	Stinga	Romania	03-Apr-1995
901	Anna	Pribylova	Russia	18-Dec-1997
901	Francesca	Stephenson	United kingdom	23-Aug-1993
903	Natasha	Bredl	Austria	28-Jul-1991
904	Francesca	Sella	Italy	23-Mar-1994
904	Alexandra	Walters	Australia	14-Jul-1992
906	Zoe	Hives	Australia	24-Oct-1996
907	Marie	Leduc	Canada	24-Sep-1997
908	Kotomi	Takahata	Japan	17-Nov-1989
909	Yue	Yuan	China	25-Sep-1998
910	Olga	Danilovic	Serbia	23-Jan-2001
911	Draginja	Vukovic	Serbia	27-Apr-2000
912	Erina	Hayashi	Japan	21-Jul-1994
913	Kaitlin	Staines	Australia	11-Jan-2000
914	Romy	Koelzer	Germany	22-Aug-1991
915	Abigail	Desiatnikov	United states	22-Jan-2001
916	Inci	Ogut	Turkey	06-Sep-1999
917	Diana	Enache	Romania	12-Dec-1987
918	Amy	Zhu	United states	28-Oct-1994
919	Shuo	Feng	China	15-Jan-1998
920	Valeriya	Yushchenko	Russia	26-Jun-1999
921	Katerina	Kramperova	Czech republic	28-Dec-1988
921	Marianna	Natali	Italy	20-Jun-1991
921	Christina	Shakovets	Germany	29-Apr-1994
924	Laura	Deigman	United kingdom	21-May-1993
925	Tereza	Kolarova	Czech republic	20-Feb-1998
926	Emma	Hurst	United kingdom	21-Jun-1996
927	Mia	Eklund	Finland	30-Oct-1994
928	Natalie	Proese	Germany	27-Sep-1990
929	Ajla	Tomljanovic	Croatia	07-May-1993
930	Wiktoria	Kulik	Poland	26-May-1999
931	Gabriela	Tatarus	Romania	10-Nov-1999
932	Katherine	Ip	Hong kong sar china	17-Sep-1995
933	Yulia	Bryzgalova	Russia	27-Jan-1998
934	Andrea renee	Villarreal	Mexico	24-Mar-1994
935	Andie k	Daniell	United states	07-Jan-1997
936	Ran	Meng	China	17-Nov-1992
937	Kanika	Vaidya	India	27-Mar-1995
938	Hyojung	Yea	South korea	13-Feb-1994
939	Lauren	Herring	United states	23-Jul-1993
940	Gabriela	Duca	Romania	22-Sep-1994
941	Pia	Cuk	Slovenia	24-Jul-1996
941	Valeriya	Urzhumova	Russia	06-May-1997
943	Nozomi	Fujioka	Japan	11-Mar-1993
943	Ushna	Suhail	Pakistan	26-Jun-1993
945	Karolayne	Alexandre da rosa	Brazil	01-Nov-1997
945	Patcharin	Cheapchandej	Thailand	13-Dec-1994
947	Lusine	Avanesyan	Russia	04-Oct-1997
947	Marina	Shamayko	Russia	03-Aug-1987
949	Eetee	Maheta	India	12-Oct-1995
950	Seone	Mendez	Australia	15-May-1999
951	Verena	Hofer	Italy	02-Sep-1997
951	Maria	Masini	Italy	28-Jan-1994
951	Lisa	Ponomar	Germany	21-May-1997
954	Sofia	Dmitrieva	Russia	11-Aug-1994
955	Steffi	Distelmans	Belgium	01-Jun-1993
955	Madeleine	Kobelt	United states	19-Mar-1992
955	Linnea	Malmqvist	Sweden	30-May-1998
955	Maria	Martinez martinez	Spain	01-Apr-1996
959	Victoria	Smirnova	Belgium	30-Sep-1998
960	Shuyue	Ma	China	29-Jun-1999
961	Catherine	Leduc	Canada	09-Jun-1993
962	Jin	Lee	South korea	02-Apr-1996
963	Panna	Udvardy	Hungary	28-Sep-1998
964	Claudia	Coppola	Italy	04-Dec-1994
965	Anna	Slovakova	Czech republic	04-Apr-1999
966	Valeriya	Pogrebnyak	Russia	25-Aug-1998
967	Suzuho	Oshino	Japan	03-Aug-1996
968	Zeel	Desai	India	18-Feb-1999
968	Aminat	Kushkhova	Russia	29-Jul-1993
968	Yasmine	Mansouri	France	15-May-2001
968	Adriana	Sosnovschi	Moldova	10-Jan-1998
972	Qianhui	Tang	China	10-Sep-2000
973	Estrella	Cabeza candela	Spain	20-Feb-1987
973	Xiyu	Wang	China	28-Mar-2001
975	Petra	Uberalova	Slovakia	11-Apr-1995
976	Angelina	Gabueva	Russia	07-Dec-1988
976	Catherine	Harrison	United states	09-Apr-1994
976	Yuan	Xin	China	15-Feb-1995
979	Jennifer	Claffey	Ireland	25-Jul-1990
980	Shivika	Burman	India	21-Oct-1989
980	Si qi	Liu	China	07-Jan-1995
982	Julia	Kimmelmann	Germany	12-Oct-1993
982	Natalia	Orlova	Russia	25-Mar-1989
984	Daniela	Farfan	Argentina	03-Mar-1997
984	Chiara	Frapolli	Switzerland	24-Aug-1996
984	Sara	Ottomano	Switzerland	06-Mar-1996
984	Polona	Rebersak	Slovenia	09-Feb-1987
984	Dan ni	Wang	China	12-Jun-1993
989	Kassandra	Davesne	France	31-Jan-1999
989	Verena	Meliss	Italy	21-Jul-1997
989	Kerstin	Peckl	Austria	02-Sep-1989
992	Elena	Bovina	Russia	10-Mar-1983
993	Yu jin	Ahn	South korea	13-Mar-1997
994	Suzan	Lamens	Netherlands	05-Jul-1999
994	Tina	Tehrani	United states	31-Aug-1992
996	Erika	Drozd pereira	Brazil	26-Apr-1997
996	Lindsay	Lee-waters	United states	28-Jun-1977
996	Melissa	Morales	Guatemala	04-Dec-1990
999	Carson	Branstine	United states	09-Sep-2000
999	Yurina	Koshino	Japan	16-May-1988
999	Julita	Saner	Sweden	29-Apr-1999
1002	Melissa	Ifidzhen	Nigeria	18-Jun-1998
1002	Chompoothip	Jandakate	Thailand	03-Nov-1995
1002	Rishika	Sunkara	India	14-May-1993
1002	Julia	Thiem	Germany	04-Jul-1990
1006	Ye-xin	Ma	China	10-Jun-1999
1006	Keri	Wong	United states	25-Dec-1989
1008	Adrijana	Lekaj	Croatia	29-Jun-1995
1008	Constanza	Vega	Argentina	24-Sep-1995
1010	Ester	Masuri	Israel	26-Dec-1989
1010	Alana	Parnaby	Australia	15-Sep-1994
1012	Nadja	Gilchrist	United states	07-Jun-1990
1012	Katarzyna	Kubicz	Poland	25-Nov-1998
1012	Kristina	Ostojic	Serbia	26-Jan-1995
1015	Nora	Niedmers	Germany	10-Jan-1995
1016	Natalie	Kallmunzerova	Czech republic	11-Jun-1997
1016	Morgane	Michiels	Belgium	02-Feb-1997
1016	Guillermina	Naya	Argentina	27-Sep-1996
1016	Anastasia	Nefedova	United states	11-Jan-1999
1020	Eleonore	Barrere	France	17-Jun-1996
1020	Sai	Chamarthi	India	17-Jan-1995
1020	Sasa	Klanecek	Slovenia	08-Apr-1998
1020	Stephanie	Nemtsova	United states	15-Apr-1998
1020	Laetitia	Sarrazin	France	08-Mar-1993
1025	Ramu	Ueda	Japan	18-Mar-1998
1026	Susan	Bandecchi	Switzerland	01-Jul-1998
1026	Mathilde	Devits	Belgium	14-Apr-1997
1026	Laura	Heinrichs	Germany	02-Dec-1990
1026	Linda	Prenkovic	Germany	23-Dec-1992
1030	Alessandra	Gisonna	Italy	24-Aug-1996
1030	Masa	Jovanovic	Australia	23-Nov-1994
1032	I-hsuan	Cho	Chinese taipei	21-Feb-2000
1033	Anastasia	Detiuc	Moldova	14-Dec-1998
1033	Eleonora	Molinaro	Luxembourg	04-Sep-2000
1035	Kwan yau	Ng	Hong kong sar china	19-Feb-1997
1036	Kei	Kato	Japan	06-Sep-1997
1036	Ayumi	Koshiishi	Japan	28-Jul-2000
1036	Nermeen	Shawky	Egypt	23-Feb-1999
1039	Karolina	Cechova	Czech republic	15-Jan-1992
1039	Yujia	Wang	China	07-Jan-1994
1041	Min-hwa	Yu	South korea	25-Mar-1988
1041	Guzal	Yusupova	Uzbekistan	19-Dec-1997
1043	Ida	Jarlskog	Sweden	20-Jun-1998
1043	Laura	Svatikova	Slovakia	29-Apr-1994
1043	Eva	Zagorac	Slovenia	15-Nov-1995
1046	Ksenia	Kuznetsova	Russia	05-Feb-1998
1046	Beatrice	Lombardo	Italy	15-Feb-1996
1046	Ariadna	Marti riembau	Spain	28-Jun-1996
1049	Dalila	Said	Egypt	26-Jul-2000
1050	Kimika	Sakata	Japan	13-May-1999
1051	Lamis	Alhussein abdel aziz	Egypt	24-Apr-1998
1051	Oleksandra	Andrieieva	Ukraine	03-Nov-2000
1051	Valeria	Gorlats	Estonia	31-Mar-1998
1051	Caroline	Ilowska	Austria	01-Aug-1998
1051	Yulia	Kulikova	Russia	11-Sep-1989
1051	Sabina	Machalova	Czech republic	10-Dec-1997
1051	Stephanie	Petit	Argentina	25-Aug-1996
1051	Anna	Procacci	Italy	26-Feb-1997
1059	Sharrmadaa	Baluu	India	09-Aug-1993
1059	Michaela	Boev	Belgium	04-Jul-1991
1059	Ioana	Ivan	Romania	17-Apr-1983
1059	Anna	Makhorkina	Russia	30-Jun-1997
1059	Yuqi	Sheng	China	03-Jan-1996
1059	Lea	Tholey	France	03-Sep-1995
1059	Andrea	Weedon	Guatemala	18-Feb-1989
1066	Veronica	Napolitano	Italy	20-Mar-1996
1066	Anastasia	Smirnova	Belgium	30-Sep-1998
1068	Jawairiah	Noordin	Malaysia	08-Oct-1990
1069	Joanna	Carswell	New zealand	08-Jul-1988
1070	Ronke	Akingbade	Nigeria	28-Jan-1988
1070	Yuliya	Hatouka	Belarus	24-Apr-2000
